"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","isolated_power","exit_velocity_avg","launch_angle_avg","hard_hit_percent","whiff_percent","swing_percent","pull_percent","opposite_percent","groundballs_percent","flyballs_percent"
"Tatis Jr., Fernando","665487","2024",21.9,7.3,".276","0.216","93.5","10",55.8,28.1,51.3,38.9,25.4,46.2,26.1
"Guerrero Jr., Vladimir","665489","2024",13.8,10.3,".323","0.221","93.8","7.4",54.9,21.5,48,33.6,24.6,47.7,21.2
"Soto, Juan","665742","2024",16.7,18.1,".288","0.281","94.2","10.7",57,21.5,37.2,42.3,21.9,44.7,27.8
"Taveras, Leody","665750","2024",21.2,7.9,".229","0.123","89","14.7",35.5,26.2,48.8,29.9,32.8,41.1,27.2
"Amaya, Miguel","665804","2024",17.1,6.3,".232","0.125","88.4","11.1",33.9,22.5,54,34.3,31.8,45.3,23
"Cabrera, Oswaldo","665828","2024",19.3,6.4,".247","0.118","88.2","12.5",34.9,18.8,47.8,36.5,22.8,44,23.2
"Cruz, Oneil","665833","2024",30.2,8.5,".259","0.190","95.5","9.8",54.9,34.1,46.3,39.3,24.7,48.1,20.6
"Chisholm Jr., Jazz","665862","2024",24.5,8.5,".256","0.180","89.7","11.4",41.1,29.3,47.5,41.3,17.5,49.8,25
"Giménez, Andrés","665926","2024",15.3,4.1,".252","0.088","86.3","8.7",28.5,22.8,56.4,37.6,24.6,51.1,18.4
"Fermin, Freddy","666023","2024",17.9,6.3,".271","0.095","88.2","11.1",33.9,23,51,45.5,18.8,50.9,21.3
"Jones, Nolan","666134","2024",30.6,12.1,".227","0.093","88.2","7.8",44.4,25.6,40,26.6,27.2,52.1,20.7
"Lowe, Josh","666139","2024",31.8,8.3,".241","0.150","90.8","16.9",46.1,31.9,51.6,34.1,33.2,35.8,29.3
"Fitzgerald, Tyler","666149","2024",31.7,6.5,".280","0.217","87.7","20.2",31.9,31.2,47.7,49.8,24.2,35.3,33.3
"Hamilton, David","666152","2024",25.2,6.9,".248","0.147","87","15.8",32.2,25.6,45.9,41.1,27.6,37.4,29.4
"Lux, Gavin","666158","2024",22.6,9,".251","0.132","88.3","9.1",41.1,23.3,45.1,35,22.4,48.6,19.3
"Moniak, Mickey","666160","2024",27.3,5,".219","0.161","88.1","19.8",34.4,30.6,56.7,46.6,20.4,36.2,29
"Rortvedt, Ben","666163","2024",26.8,10.4,".228","0.075","86.2","11.9",30.7,26.7,43,31.7,28.7,47,20.8
"Adell, Jo","666176","2024",27.9,7.8,".207","0.195","89.8","15.9",44.7,29.8,49.7,41.1,24.8,35.5,31.6
"Benson, Will","666181","2024",39.7,10.3,".187","0.189","89.4","18.2",40.1,39,47.6,49.5,19.3,35.9,35.4
"Bichette, Bo","666182","2024",19,6,".225","0.097","89.2","7.2",43.5,22,56.4,26.9,36.5,47,17.7
"Carlson, Dylan","666185","2024",28.3,8.3,".209","0.068","86.8","15.8",25.8,31,48.2,41.7,27.6,41.7,30.7
"Naylor, Bo","666310","2024",31.4,7.5,".201","0.149","88.8","19.9",37.7,28.3,46.9,43.2,20.3,36,30.1
"Julien, Edouard","666397","2024",33.9,11,".199","0.124","87.8","11.9",37.8,30.9,40.6,36,31.1,45.1,31.7
"Morel, Christopher","666624","2024",26,10,".196","0.150","89.2","14.2",40.4,34.1,47,45.7,16.8,45.1,25.2
"García, Adolis","666969","2024",27.8,7.1,".224","0.176","91","15",48.2,34.3,52.1,34.7,29.8,38.9,31.3
"Gurriel Jr., Lourdes","666971","2024",18.3,5.2,".279","0.156","88.4","15.7",40,20.2,51.1,40.5,27.6,38.1,27.1
"Rooker Jr., Brent","667670","2024",28.8,9.6,".293","0.269","91.9","18.9",49.6,34.1,50.2,42.6,24.7,33.8,34.3
"Arozarena, Randy","668227","2024",26.1,11.3,".219","0.169","90.4","13.2",43.5,29.7,41,42.4,19.5,44.5,27.6
"Rogers, Jake","668670","2024",29.4,6.5,".197","0.155","89","15.7",41.8,32.7,47.6,44.1,17.4,40.4,32.9
"Bleday, JJ","668709","2024",19.5,10.4,".243","0.194","88.5","18.6",36.2,26.1,45.3,41.3,22.8,34.8,31.3
"Steer, Spencer","668715","2024",20.9,11,".225","0.177","88","17.4",39.9,23.1,44.5,42.8,24.6,37.8,29.4
"Reynolds, Bryan","668804","2024",22.5,8.2,".275","0.172","89.9","9.4",45.4,29.4,50.4,35.2,27.3,46.1,26.7
"Martin, Austin","668885","2024",18.3,7.8,".253","0.099","87.2","12.7",33.5,21.4,45.5,46.3,16.5,43.1,23.4
