#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
124,Ezequiel Duran,TEX,122,439,14,55,46,8,5.20%,27.30%,0.167,0.358,0.276,0.324,0.443,0.33,0.319,110,-2.6,2.5,-4.4,1.3
125,Jarred Kelenic,SEA,105,416,11,44,49,13,9.90%,31.70%,0.167,0.359,0.253,0.327,0.419,0.321,0.333,109,0.8,5.6,-4.6,1.5
126,Tommy Pham,2 Tms,129,481,16,55,68,22,9.80%,22.00%,0.19,0.3,0.256,0.328,0.446,0.332,0.361,109,2.6,8.2,-5.4,1.9
127,Joc Pederson,SFG,121,425,15,59,51,0,13.40%,20.90%,0.182,0.268,0.235,0.348,0.416,0.331,0.366,109,0.1,5,-12.1,0.7
128,Mike Tauchman,CHC,108,401,8,64,48,7,14.00%,21.40%,0.125,0.313,0.252,0.363,0.377,0.33,0.345,109,0.1,4.8,-1.8,1.7
129,Nick Castellanos,PHI,157,671,29,79,106,11,5.40%,27.60%,0.204,0.337,0.272,0.311,0.476,0.335,0.32,109,-2.8,4.9,-14.3,1.3
130,Bryan Reynolds,PIT,145,640,24,85,84,12,8.30%,21.60%,0.197,0.304,0.263,0.33,0.46,0.338,0.36,109,1.3,8.7,-9.7,2.1
131,Aaron Hicks,2 Tms,93,312,8,44,36,6,13.50%,22.10%,0.13,0.311,0.253,0.353,0.383,0.326,0.282,109,1.1,4.4,-5.7,0.9
132,Willi Castro,MIN,124,409,9,60,34,33,8.30%,24.20%,0.154,0.328,0.257,0.339,0.411,0.327,0.301,108,5.1,9.1,1.7,2.5
133,Trea Turner,PHI,155,691,26,102,76,30,6.50%,21.70%,0.192,0.31,0.266,0.32,0.459,0.333,0.33,108,9.4,16.5,2.6,4.2
134,Daniel Vogelbach,NYM,104,319,13,33,48,0,13.20%,25.40%,0.171,0.282,0.233,0.339,0.404,0.327,0.324,108,-3.1,0.2,-9.2,0.2
135,Spencer Torkelson,DET,159,684,31,88,94,3,9.80%,25.00%,0.213,0.269,0.233,0.313,0.446,0.326,0.349,108,0.1,6.4,-15.3,1.5
136,Taylor Ward,LAA,97,409,14,60,47,4,9.50%,19.60%,0.169,0.284,0.253,0.335,0.421,0.329,0.338,107,-1.8,1.7,-1.7,1.4
137,Charlie Blackmon,COL,96,413,8,57,40,4,9.40%,13.30%,0.162,0.307,0.279,0.363,0.44,0.35,0.339,107,-1.5,2,-7.2,0.9
138,Jesús Sánchez,MIA,125,402,14,43,52,3,9.50%,26.60%,0.197,0.321,0.253,0.327,0.45,0.334,0.35,107,-0.3,3.1,-2.7,1.4
139,Teoscar Hernández,SEA,160,678,26,70,93,7,5.60%,31.10%,0.178,0.342,0.258,0.305,0.435,0.317,0.336,106,-4.4,0.9,-4.7,1.9
140,Nolan Arenado,STL,144,612,26,71,93,3,6.70%,16.50%,0.193,0.279,0.266,0.315,0.459,0.327,0.32,106,-2.1,2.8,3.6,2.7
141,Jake Fraley,CIN,111,380,15,41,65,21,9.70%,18.70%,0.188,0.283,0.256,0.339,0.443,0.338,0.328,106,1.2,4,-6.3,1.1
